pt_index,mean_p_residual_lossless,mean_p_residual_full_y
19094,1.7669486746465828,1.75898623337168
19193,1.8130110049497448,1.8004100869616244
19236,2.0689223727228407,2.0629995222342523
19488,1.752403142345146,1.676092865322902
19534,1.987487907467343,1.978918234880037
19863,2.076523148083846,2.0701766394427867
19987,1.6577729109669526,1.6464419074333292
20331,1.6796870989483597,1.6661578958147638
20582,1.67227774406104,1.6600464423036236
20808,1.8263159673410927,1.748580378146748
21050,1.8190602593922303,1.817620901043733
22393,1.6099626842262842,1.6053194470457548
22573,1.895730321472923,1.8243627094928596
22991,1.4175593455473527,1.4130450126856466
23091,1.5349259127963044,1.5317246635119461
23589,1.6451716425733927,1.635775703467783
24027,1.970771120315762,1.9621163915296214
24118,1.7468234342082951,1.6652580328808821
24512,1.7110508926248102,1.6848198625255177
24591,1.8396167849252616,1.830784342308115
24694,1.6403184947941587,1.6272813680295153
24831,1.6483937365632606,1.626696973297674
25161,1.5133154897267778,1.5112455189112506
25636,1.704425808622393,1.6940974541647196
25685,1.5573559815432647,1.550770194582356
25843,1.8018895564402526,1.792687308614178
25999,1.4951358101227241,1.4812582977513182
26104,1.6651688714353499,1.6583314562462923
26470,1.8221125678457795,1.8203765526107112
26537,1.7924479483771694,1.7139351566208776
26910,1.7586914956115165,1.7523657084947855
27191,1.510165098348458,1.4951021251644128
27277,1.599972225515115,1.5911104739353317
27472,1.726000910322626,1.7201440276110194
27780,1.5670838522540016,1.562445557325259
27925,1.8301361062778594,1.8247445592931717
27939,1.8314017424163462,1.8260101954316583
28493,1.4721494376348716,1.4573273143984813
28976,1.5842400084640222,1.5739315356007706
29548,1.3285842688021963,1.3125357782138602
29560,1.3323569875342964,1.3142156235014268
29598,1.368243707405926,1.3592568523342332
29683,1.3425023848599642,1.3282835876438468
29965,1.4523228652362816,1.3757279462241672
30125,1.5543332113902408,1.5451648748585287
30466,1.6643920764137083,1.6523161515831897
30578,1.772872193829684,1.7433642616192586
30889,1.4748501202925317,1.4636445827793627
30948,1.455816442572257,1.444032083044246
31016,1.4485011850621268,1.444210493943351
31863,1.7102163758530016,1.7037391945986264
31937,1.6790947579686455,1.6764385203216294
32538,1.4359853087210679,1.430168462454614
32570,1.474813891259538,1.4689404908122814
32572,1.4726535210884146,1.466780120641158
32701,1.422546384604147,1.4065357027349026
32889,1.8248862536740162,1.8172967989346858
33357,1.7515894547813022,1.6789843523252284
34235,1.6211503488925576,1.6145727064012985
34294,1.7779238452149702,1.7645805001971167
34788,1.6724249474373862,1.67081837812309
35686,1.3022101154392727,1.2920482736363428
35845,1.7995069602314273,1.79063434675322
35848,1.7990979333928114,1.7878261643064852
36017,1.777722124245208,1.7727429407481068
36196,1.5619685018039806,1.4760382889804222
36604,1.6835976282835494,1.6240907688380388
36810,1.6000395926408741,1.5908398791829061
37348,1.8793666001038487,1.8026514357902843
37386,1.6958364140575046,1.676453649433562
37516,1.4889996598026083,1.479357331805316
37634,1.8306178785656504,1.749533626926053
38009,1.5538170086139016,1.5395475189214207
38298,1.5245624349835643,1.4502131878155584
38340,1.566185237937448,1.565838327709437
38392,1.4797662732161179,1.4700869011865745
38429,1.4802090482010626,1.4663404333396224
38476,1.732289486325197,1.6615855616014663
38484,1.5579604237583442,1.5505027588082074
38842,1.6238043600080687,1.6099254121146407
39067,1.6988532688867917,1.6154764444804937
39269,1.6282368416096182,1.6170860648836027
39305,1.4362307929453724,1.424815717076293
39310,1.4641457018463562,1.4527306259772768
39532,1.7082384356040246,1.6959618663332252
40031,1.7131824057193805,1.6817829020195878
40106,1.7245107538162447,1.718561266840265
40130,1.6804997832261999,1.6607940879233314
40423,1.4349126669469678,1.422524226465673
41092,1.3275606278923784,1.2518332044428644
41400,1.7539289995421439,1.748208305648786
41534,1.8375248530040877,1.755236619303852
41818,1.6115877469403284,1.5281461930965892
41932,1.7004663156010233,1.6907614976827845
41945,1.702608078802692,1.6929032608844534
42088,1.7612405428203939,1.7511094137509033
42097,1.7651605204513825,1.755029391381892
42140,1.8092485353112515,1.7221232012544978
42441,1.6531633538096009,1.6450730118741084
42539,1.6987080285518372,1.6896438066876163
42590,1.7055049777897349,1.703383461008742
42758,1.7230749359779272,1.718654379371293
42849,1.6419260611340856,1.6269642974926866
42933,1.660263183545497,1.6486862776303761
43237,1.7450083507163308,1.7239159576768308
43448,1.5791602128446012,1.5613407502195409
43544,1.5325886082745306,1.5278930315721526
43669,1.969605181858809,1.963690004465464
43727,1.8994058177200719,1.8982018948014057
43773,1.8123856597854375,1.807460887265597
44258,1.9407410019882925,1.9398377953916308
44385,1.899396024100612,1.8980355058861558
45231,1.6452512503760395,1.6401547979125295
45906,1.4731594445759577,1.4413469714682663
46226,1.565796117513496,1.5556752472431195
46318,1.5040842529492437,1.4951403802059777
47362,1.7401271708398434,1.7307648956280648
47570,1.7062260827684341,1.7042904872556237
47686,1.475995252688404,1.4620879108328082
47878,1.6417197182851664,1.6356208644311774
48811,1.7115732446048983,1.6966976199975121
49298,1.6930222218987212,1.680781397865319
49408,1.6715717187517207,1.637817082149421
49465,1.507610224802939,1.4851434197283844
49538,1.4688063439983863,1.3922020045301355
49580,1.444183944465964,1.4432527667707895
49711,1.8037240045999674,1.799031540860275
49736,1.674184333204944,1.6625652600676193
49854,1.6792808138746333,1.6556550785143407
50265,1.329019889169936,1.3275785272224931
50326,1.4240134716898492,1.4048106133300273
50404,1.4781099148120536,1.4674855571252245
50479,1.5686693649585215,1.5610026328021278
50649,1.516217984476263,1.5074968944838607
50698,1.3301263728129682,1.3162474924406877
50878,1.4011100938016203,1.3989956940916555
50990,1.5685054240153276,1.5651716096262667
52386,1.8461803998767987,1.8433004456275874
52439,1.6118885574219668,1.6009833918473075
52926,1.6782475962217696,1.6669686559868406
54071,1.6906614739483614,1.650484153426164
54115,1.836994290715746,1.829122552524409
54152,1.6281159103908658,1.6219531341150581
55715,1.705662645072133,1.6992477488022903
55785,1.5824250082560178,1.5766119137383068
56071,1.4382224597837125,1.4254501636606347
56218,1.5270792510762499,1.5255544350394135
56295,1.5490053796075562,1.5354093336443078
56681,1.462598331443768,1.4515017179495053
56690,1.4626338495076194,1.4521708807800373
56728,1.334794495207001,1.3280650557154947
57056,1.7741159941389968,1.7626025043984885
57757,1.7490366062227167,1.7172657107970661
57882,1.4601692168437757,1.4511870407455016
58116,1.7592522544042464,1.7543810261537336
58270,1.5827562408104616,1.5092625755259539
58670,1.3928470554858012,1.381310409151984
59015,1.6139434622999431,1.5993555861021889
59047,1.5700324462406245,1.5581752867592338
59115,1.3713594189744318,1.364770579130363
59355,1.4920609699942446,1.4878990424327485
59369,1.490179858734794,1.4869177877559732
59402,1.3835175845724903,1.373179506394625
59598,1.439486036504467,1.427988908078223
59711,1.4124404394229537,1.4029739883953147
59891,1.621644106381213,1.6087951430904441
59988,1.82827495546373,1.8193046075572514
59996,1.5662081532133865,1.5568880695058347
60674,1.6790416569937698,1.6647493857091349
60724,1.769080498913505,1.7562468324655562
60884,1.516825580979804,1.5025784495115126
60997,1.4959933185527607,1.4708701152620198
61230,1.6197968605540578,1.6159931080752676
61444,1.7221454455605063,1.7092710317628972
61537,1.3815262735663325,1.363367316811427
61704,1.5148877912234555,1.5052401743904913
62265,1.4682408315363913,1.4589877204839536
62700,1.4338162756944939,1.4048585119726424
62776,1.4395820115336528,1.4119893908964354
62980,1.567547624149449,1.5588629350615957
63145,1.6686972176305148,1.6642375766570199
63168,1.639212403816241,1.5542081729903208
64463,1.6050361724610245,1.5802221339011655
64596,1.431327449956616,1.423467367901059
64609,1.4309109591112457,1.4230508770556887
64734,1.588440051887508,1.5780354970306627
64838,1.681268715311397,1.59984635194665
64899,1.8811280270876114,1.7779137392716835
64975,1.7144302908214195,1.7046031550344996
65015,1.7794879332906275,1.6977851807674542
65377,1.86938469410092,1.7853716214184383
65572,1.841349051198489,1.8062386880332155
65598,1.9437904131016754,1.9291221621944956
65694,1.716284712479447,1.7109887282525276
65869,1.3967536739708963,1.384395268304309
65952,1.6276750717273143,1.6173928700791627
66622,1.7059680777037378,1.6925590142926357
66678,1.6506714354372405,1.6136609145309537
67041,1.5415350542620312,1.4589464976031414
67177,1.4379752590795165,1.40228401484013
67337,1.6111830557524371,1.6044050345993925
67663,1.5328500986261355,1.518615075564331
67863,1.5160590389357707,1.5054872227536966
67886,1.434293349026839,1.4242232226429892
67929,1.4561726463303448,1.4459826714368653
68553,1.6087028710160216,1.5994781082280816
68601,1.7318580423368455,1.7295016128149143
68820,1.565376749217811,1.4854200419149626
68850,1.408854727081886,1.400032058177745
69111,1.783858564938093,1.772286740979646
69220,1.6833994014269564,1.6603912113550212
69258,1.7190523920496212,1.6946777009064613
69428,1.300134904119566,1.2869978441025853
69711,1.8087626609693055,1.8000324514507744
69726,1.8359804394405985,1.8179472143248632
69750,1.698544182566784,1.6801924936640065
69793,1.9675150936007786,1.9575765211152734
69899,1.6257185360473532,1.6166731047829788
70057,1.3929981019168123,1.3804659977261375
70434,1.714998635918569,1.7007798501411282
70608,1.669439577717062,1.5963093618617523
70667,1.4215610380127974,1.412837772769162
70898,1.8798585115472783,1.8040402322619167
71023,1.5994851509046708,1.5979318824295352
71344,1.3867728754227568,1.3781531254591304
71375,1.6023432168674165,1.595751236768139
71562,1.452334803003998,1.4412338785857475
71816,1.3960551674524695,1.3854767255673268
71958,1.3276851905042757,1.3117618597289626
72380,1.5051660038473724,1.4965948665729711
73561,1.4811194353400716,1.4687401760265835
73946,1.5253491838385207,1.5093517685361404
74463,1.6681191964804316,1.6640882015862326
74671,1.5974063765193356,1.5889131732404729
74778,1.6386401201516805,1.553526243029723
74999,1.7023676046025653,1.685290726182172
75283,1.6830549137331676,1.611010036659678
75399,1.4659154694259955,1.4350107703711297
75430,1.5010725400336906,1.4213649208781785
76530,1.8364518388361504,1.7475031695378893
76886,1.7727439318807765,1.7657290230180063
76899,1.7830124148833246,1.7556761620867591
77079,1.7843828827875574,1.7667308864339624
77427,1.6688919371925768,1.5867160811791632
78074,1.6684527113648921,1.6348380845269563
78252,1.9220938643339287,1.9151793936156087
78266,1.7610692825796455,1.7581202360364276
